,,THRESHOLD,,,,,,,,,
,,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
BASELINE,0.00,995,995,995,997,998,1001,1003,1006,1012,1024
,0.05,678,678,681,685,690,703,716,735,762,789
,0.10,496,499,503,513,521,553,579,611,650,686
,0.15,413,418,425,440,453,491,523,559,599,640
,0.20,372,383,393,409,424,463,495,531,573,615
,0.25,353,369,379,397,413,453,487,523,566,609
,0.30,306,336,356,375,399,441,478,514,557,601
,0.35,229,289,324,348,377,425,463,501,544,589
,0.40,91,213,273,312,350,404,442,480,526,571
,0.45,-208,100,206,268,318,383,428,466,516,561
